,AR_1yr,AR_15d,AR_sigma_1yr,AR_delta
2003-02-04,0.7598926725101356,0.7835630364134855,0.01455941684630417,1.6257769217836815
2003-02-05,0.7600478198065637,0.783548527642268,0.014600298714676321,1.6096045906294558
2003-02-06,0.7602029671029916,0.7835340188710506,0.01463941573443623,1.593714680373303
2003-02-07,0.7603581143994196,0.7835195100998331,0.014676782016780299,1.5780976833976674
2003-02-10,0.7605132616958477,0.7835050013286157,0.014712410901176552,1.5627445282220445
2003-02-11,0.7606684089922756,0.7834904925573983,0.014746314980922463,1.5476465540474351
2003-02-12,0.7608235562887038,0.783475983786181,0.014778506126894034,1.5327954871063827
2003-02-13,0.7609787035851318,0.7834614750149634,0.014808995509596768,1.5181834186702285
2003-02-14,0.7611338508815597,0.7834469662437461,0.014837793619619344,1.5038027845786157
2003-02-18,0.7612889981779878,0.7834324574725287,0.014864910286581696,1.4896463461693001
2003-02-19,0.7614441454744156,0.7834179487013112,0.014890354696661015,1.4757071724975723
2003-02-20,0.7615992927708437,0.7834034399300938,0.014914135408771562,1.4619786237441708
2003-02-21,0.7617544400672717,0.7833889311588764,0.01493626036946729,1.4484543357204722
2003-02-24,0.7619095873636996,0.7833744223876589,0.014956736926629792,1.43512820538697
2003-02-25,0.7620647346601277,0.7833599136164415,0.014975571841998214,1.4219943773093597
2003-02-26,0.7622198819565558,0.7833454048452241,0.01499277130259229,1.4090472309822837
2003-02-27,0.7623750292529838,0.7833454048452241,0.015008340931074513,1.3972480828191636
2003-02-28,0.7625301765494118,0.7833454048452241,0.01502228579509273,1.3856232386826186
2003-03-03,0.7626853238458398,0.7833454048452241,0.01503461041563996,1.374168031510307
2003-03-04,0.7628404711422678,0.7833454048452241,0.015045318774464066,1.3628779828685726
2003-03-05,0.7629956184386958,0.7833454048452241,0.015054414320555907,1.3517487942883217
2003-03-06,0.7631507657351239,0.7833454048452241,0.01506189997574088,1.340776339148864
2003-03-07,0.7633053541187379,0.7835682904095854,0.015102881528042641,1.3416602820609977
2003-03-10,0.763459942502352,0.7837911759739467,0.015142167759782346,1.34268975183292
2003-03-11,0.7636145308859662,0.7840140615383079,0.015179771833763643,1.3438627981856734
2003-03-12,0.7637691192695804,0.7842369471026693,0.015215706221838278,1.3451776430667817
2003-03-13,0.7639237076531943,0.7844598326670305,0.015249982727133952,1.3466326737076695
2003-03-14,0.7640782960368085,0.7846827182313917,0.015282612504768667,1.3482264362950964
2003-03-17,0.7642328844204227,0.7849056037957531,0.01531360608114141,1.349957630214136
2003-03-18,0.7643874728040368,0.7851284893601143,0.015342973371881428,1.351825102824515
2003-03-19,0.7645420611876509,0.7853513749244756,0.015370723698531107,1.3538278447366363
2003-03-20,0.764696649571265,0.7855742604888369,0.015396865804031053,1.355964985556082
2003-03-21,0.7648512379548792,0.7857971460531982,0.015421407867069975,1.3582357900698363
2003-03-24,0.7650058263384932,0.7860200316175594,0.015444357515356425,1.360639654849456
2003-03-25,0.7651604147221074,0.7862429171819209,0.015465721837864441,1.3631761052495828
2003-03-26,0.7653150031057214,0.7864658027462821,0.015485507396100377,1.3658447927826334
2003-03-27,0.7654695914893357,0.7866886883106433,0.015503720234433855,1.3686454928527338
2003-03-28,0.7656241798729498,0.7866886883106433,0.015520365889531722,1.3572172581254158
2003-03-31,0.765778768256564,0.7866886883106433,0.015535449398930106,1.3459488372135116
2003-04-01,0.765933356640178,0.7866886883106433,0.01554897530877606,1.3348359784680268
2003-04-02,0.7660879450237921,0.7866886883106433,0.015560947680767044,1.3238745935964598
2003-04-03,0.7662425334074062,0.7866886883106433,0.015571370098313211,1.3130607502195293
2003-04-04,0.7663971217910204,0.7866886883106433,0.015580245671944588,1.3023906648764882
2003-04-07,0.7665692585566775,0.786854508664202,0.015591373724745249,1.3010559855498571
2003-04-08,0.7667413953223344,0.7870203290177608,0.015600587034304543,1.2998827320301758
2003-04-09,0.7669135320879915,0.7871861493713195,0.015607888991431592,1.2988699044731298
2003-04-10,0.7670856688536484,0.7873519697248781,0.015613282277807504,1.2980166828877453
2003-04-11,0.7672578056193056,0.787517790078437,0.015616768870923663,1.2973224247976705
2003-04-14,0.7674299423849625,0.7876836104319956,0.015618350047713387,1.2967866634541432
2003-04-15,0.7676020791506196,0.7878494307855543,0.01561802638689259,1.2964091065902665
2003-04-16,0.7677742159162765,0.788015251139113,0.015615797770019426,1.2961896357096145
2003-04-17,0.7679463526819336,0.7881810714926717,0.015611663381277476,1.2961283059052453
2003-04-21,0.7681184894475905,0.7883468918462305,0.015605621705981551,1.2962253462088313
2003-04-22,0.7682906262132477,0.7885127121997891,0.015597670527799687,1.2964811604719841
2003-04-23,0.7684627629789046,0.788678532553348,0.015587806924679475,1.296896328786101
2003-04-24,0.7686348997445617,0.7888443529069066,0.015576027263461176,1.2974716094490275
